k,silhouette,ARI,NMI
2,0.29334757003681017,0.09556459715429629,0.13233618081151619
3,0.2761109102720459,0.14554026713332546,0.19002657166996598
4,0.2903004924822813,0.22586373886829741,0.2901216811058729
5,0.30365612903465716,0.3167112166669418,0.39090790133345155
6,0.3142884200973161,0.3153517605744192,0.39500943095364993
7,0.30393016105370674,0.2977562497048226,0.3599966506390164
8,0.31357644384981326,0.2907723487999121,0.35705200554916594
9,0.3152900505847759,0.3143165137378597,0.3954551464347641
10,0.3282809623124863,0.3078911201715886,0.3865677640200975
11,0.30581136370125944,0.3101487565004402,0.3698417133356466
12,0.31578168823900854,0.321812513625024,0.38923251317173074
