episode,t,finger,label,conf,dur,bg_votes,flagged
0,2.190105856,f1,contact_onset,medium,,0.0,False
0,2.201849344,f0,contact_onset,medium,,0.0,False
0,2.201849344,f1,slip,medium,0.11,0.0,False
0,2.212014592,f0,slip,medium,0.12,0.0,False
0,2.50900096,f0,grasp_stable,medium,,0.0,False
0,2.50900096,f1,grasp_stable,medium,,0.0,False
0,2.718140672,f0,release,medium,,0.0,False
0,2.73164416,f1,release,medium,,0.0,False
0,3.818695936,f1,contact_onset,medium,,0.0,False
0,3.88516224,f1,drop,medium,,1.0,False
0,5.007457024,f1,contact_onset,high,,0.0,False
0,5.007457024,f1,slip,high,0.17,0.0,False
0,5.03225984,f0,contact_onset,high,,0.0,False
0,5.074458624,f0,slip,high,0.13,0.0,False
0,5.37147776,f0,grasp_stable,medium,,0.0,False
0,5.503913216,f1,slip,medium,0.11,0.0,False
0,5.55818368,f0,slip,medium,0.11,0.0,False
0,5.999983104,f1,grasp_stable,medium,,3.0,False
0,6.988816896,f1,slip,medium,0.24,4.0,True
0,10.43492224,f0,slip,medium,0.17,0.0,False
0,10.455927808,f1,slip,medium,0.11,0.0,False
0,10.488711424,f0,place,medium,0.18,0.0,False
0,10.58817408,f1,place,high,0.18,0.0,False
0,10.667516416,f0,release,high,,0.0,False
0,10.767818752,f1,release,high,,0.0,False
0,27.824961667,f0,background,,,7.0,True
0,44.100308667,f0,background,,,7.0,True
0,12.973453467,f1,background,,,7.0,True
0,52.200372667,f1,background,,,7.0,True
1,6.115103232,f0,contact_onset,high,,0.0,False
1,6.170600192,f1,contact_onset,high,,0.0,False
1,6.502653184,f0,grasp_stable,medium,,0.0,False
1,6.545121536,f1,grasp_stable,medium,,0.0,False
1,6.577964288,f0,slip,medium,0.11,0.0,False
1,6.577964288,f1,slip,medium,0.3,0.0,False
1,7.7770176,f1,slip,high,0.11,0.0,False
1,8.746325504,f1,slip,medium,0.14,5.0,True
1,12.377144576,f1,place,medium,0.26,0.0,False
1,12.38815232,f1,slip,medium,0.17,0.0,False
1,12.41066624,f0,place,medium,0.27,0.0,False
1,12.45474688,f0,slip,high,0.21,0.0,False
1,12.564181504,f1,slip,high,0.19,0.0,False
1,12.640979712,f1,release,high,,0.0,False
1,12.685516544,f0,release,medium,,0.0,False
1,7.3161272,f0,background,,,5.0,True
1,5.4888693,f0,background,,,7.0,True
1,2.8366776,f1,background,,,7.0,True
1,13.3060611,f1,background,,,7.0,True
2,6.412864,f0,contact_onset,high,,0.0,False
2,6.445424896,f1,contact_onset,high,,0.0,False
2,6.753876224,f1,grasp_stable,high,,0.0,False
2,8.459480832,f0,grasp_stable,medium,,5.0,True
2,8.491636736,f0,slip,medium,0.11,4.0,True
2,8.943504384,f0,slip,medium,0.24,0.0,False
2,9.03524224,f0,place,high,0.17,0.0,False
2,9.074871808,f1,slip,high,0.19,0.0,False
2,9.101593088,f1,place,high,0.05,0.0,False
2,9.152626688,f1,release,high,,0.0,False
2,9.207847168,f0,release,high,,0.0,False
2,6.998480034,f0,background,,,5.0,True
2,27.994271834,f0,background,,,7.0,True
2,37.424197234,f1,background,,,7.0,True
2,20.203084734,f1,background,,,7.0,True
3,4.642928896,f0,contact_onset,high,,0.0,False
3,4.665445376,f1,contact_onset,high,,0.0,False
3,5.017031168,f0,grasp_stable,medium,,0.0,False
3,5.017031168,f1,grasp_stable,medium,,0.0,False
3,5.072448512,f0,slip,medium,0.11,0.0,False
3,5.303414016,f1,slip,medium,0.11,2.0,False
3,5.40183808,f0,slip,medium,0.11,0.0,False
3,6.800384512,f0,slip,medium,0.18,0.0,False
3,7.14064128,f0,slip,high,0.34,0.0,False
3,9.497696512,f1,slip,medium,0.27,0.0,False
3,9.598261504,f0,place,high,0.08,0.0,False
3,9.605261568,f0,slip,high,0.19,0.0,False
3,9.664314624,f1,release,high,,0.0,False
3,9.682317056,f0,release,high,,0.0,False
3,17.0771498,f0,background,,,7.0,True
3,20.8800644,f0,background,,,7.0,True
3,21.8598417,f1,background,,,7.0,True
3,2.4167064,f1,background,,,7.0,True
4,4.654996992,f0,contact_onset,medium,,0.0,False
4,4.754000896,f1,contact_onset,high,,0.0,False
4,5.09580928,f1,grasp_stable,medium,,0.0,False
4,5.16246272,f1,slip,medium,0.14,0.0,False
4,5.172463872,f0,grasp_stable,medium,,0.0,False
4,5.348420352,f1,slip,medium,0.11,0.0,False
4,8.497033216,f0,place,high,0.09,0.0,False
4,8.506033408,f0,slip,high,0.19,0.0,False
4,8.517447424,f1,place,high,0.08,0.0,False
4,8.563489792,f1,slip,high,0.14,0.0,False
4,8.583500288,f0,release,high,,0.0,False
4,8.597026816,f1,release,high,,0.0,False
4,33.2168611,f0,background,,,7.0,True
4,19.6160445,f0,background,,,7.0,True
4,14.7200642,f1,background,,,7.0,True
4,30.5425272,f1,background,,,7.0,True
5,4.984575744,f1,contact_onset,medium,,0.0,False
5,5.370129152,f0,contact_onset,medium,,0.0,False
