ep,fg,net_mm,rho,grip_d,dur_s,n_slips,abs_mm
34,f0,-12.650410500000001,-0.4916618372409049,-2.8000000000000003,2.4334423999999997,1,12.650410500000001
37,f0,-12.087841071428572,-0.20077052839076967,-2.4,4.6218072999999995,7,12.087841071428572
33,f0,-9.942356072899377,-0.3484429748251112,-2.4000000000000004,3.7261617000000005,4,9.942356072899377
32,f0,-9.135293716767103,-0.23110931676909255,-2.2,4.1891072000000005,2,9.135293716767103
36,f0,-9.114297115384614,-0.7246606859580106,-2.9,2.836372000000001,1,9.114297115384614
48,f1,7.7759433346395,0.9680869781416261,-35.25,4.666783199999999,5,7.7759433346395
21,f1,-5.34295185185185,-0.44960846023504325,-3.0,4.764202099999999,4,5.34295185185185
32,f1,-5.24299878169014,-0.4383373124500833,-2.1999999999999993,4.1891072000000005,2,5.24299878169014
42,f0,-4.761889999999999,-0.1675536655630691,0.0,3.2795527,0,4.761889999999999
49,f0,-4.132331845841785,-0.5590737100111651,2.8000000000000016,4.6873813,2,4.132331845841785
43,f1,3.9561231299048463,0.9636396024619491,-26.7,4.0381527,2,3.9561231299048463
48,f0,3.7296377636057345,0.894342722988911,-1.4500000000000028,4.4131830999999995,0,3.7296377636057345
28,f1,3.473893758241758,0.6581295212578285,1.4,5.237830100000001,4,3.473893758241758
1,f1,-3.1900619999999993,-0.10263341984429084,11.55,5.7867382,3,3.1900619999999993
9,f1,-2.8038735000000004,-0.23582527772018688,-1.7999999999999998,2.5312022999999995,0,2.8038735000000004
16,f0,2.7644621794871784,0.7586478740590559,2.8000000000000007,1.8256682,0,2.7644621794871784
19,f0,2.343429787234042,0.40781493524012097,2.500000000000001,1.9915956000000001,0,2.343429787234042
31,f1,-2.3204064285714265,-0.78722966733686,-2.0,2.2543752999999995,0,2.3204064285714265
17,f0,2.276215886287625,0.34027872605475,2.0,3.851924200000001,0,2.276215886287625
24,f0,-2.2747625,-0.08652608054989537,0.19999999999999996,4.5765023000000005,1,2.2747625
27,f1,-2.0310860553697507,-0.41005402883812636,-0.40000000000000036,3.301186499999999,4,2.0310860553697507
23,f0,-1.9059999999999995,0.1297601797580456,-1.9000000000000006,3.4549038000000003,4,1.9059999999999995
35,f1,-1.8529047619047616,-0.30691685513770744,0.0,3.6199699,6,1.8529047619047616
42,f1,-1.642669230769231,-0.4160938691981521,0.20000000000000018,3.2795527,3,1.642669230769231
41,f0,-1.6246803203661315,-0.6574517474446419,0.45000000000000107,1.9811081000000001,1,1.6246803203661315
30,f0,-1.5918020833333328,-0.5886819776303295,-0.8000000000000007,2.3541770999999994,2,1.5918020833333328
18,f1,-1.3948772468759292,-0.37753043103279177,-2.1000000000000005,2.8389879999999996,0,1.3948772468759292
37,f1,1.3534986742424238,0.19645144422594424,0.8000000000000016,4.6218072999999995,0,1.3534986742424238
17,f1,1.3407280566207995,0.4882385915484689,3.750000000000001,3.851924200000001,7,1.3407280566207995
15,f0,-1.308602287581699,-0.8758020620899949,-0.25000000000000133,3.1806264000000004,1,1.308602287581699
22,f1,-1.2724164251207726,-0.24177185173296672,-2.6000000000000005,2.511037,4,1.2724164251207726
23,f1,-1.2550304347826078,-0.2162675891431725,-1.4000000000000004,3.4549038000000003,7,1.2550304347826078
33,f1,-1.194481666666666,-0.14924055566937813,-1.0,3.2340224000000006,0,1.194481666666666
55,f1,1.191812966212109,0.985765615176942,25.200000000000003,2.2123488,1,1.191812966212109
15,f1,1.0846017822549419,0.45273510009654816,3.099999999999995,3.1806264000000004,3,1.0846017822549419
16,f1,1.0703153782894739,0.5057516627915061,2.9,1.8256682,1,1.0703153782894739
20,f0,-1.034663071139387,-0.3484663708017675,-1.25,1.8153952999999996,4,1.034663071139387
36,f1,-1.0126333333333333,-0.7184099488071564,-1.2000000000000002,2.836372000000001,0,1.0126333333333333
25,f0,-0.9936560784313725,-0.2572575855564201,-0.39999999999999947,4.565811799999999,3,0.9936560784313725
40,f0,-0.8825142857142855,-0.27915538174637566,-0.3999999999999999,2.8717872,3,0.8825142857142855
49,f1,0.8506749507949074,0.7362829029086657,-3.200000000000001,4.6873813,1,0.8506749507949074
27,f0,-0.7662128787878786,-0.6183673702986916,-0.40000000000000036,3.301186499999999,0,0.7662128787878786
53,f0,0.760698689974043,0.09733518170477247,-3.5999999999999996,3.8289105,0,0.760698689974043
31,f0,-0.5913285714285714,-0.566226558408956,-0.8000000000000007,2.2543752999999995,0,0.5913285714285714
0,f1,0.5485888897525175,-0.1472027590471142,-2.299999999999999,3.6860502000000013,1,0.5485888897525175
