episode,t,finger,label,conf,dur,bg_votes,flagged,cluster
0,2.201849344,f1,slip,medium,0.11,0.0,False,0
0,2.212014592,f0,slip,medium,0.12,0.0,False,0
0,5.007457024,f1,slip,high,0.17,0.0,False,0
0,5.074458624,f0,slip,high,0.13,0.0,False,0
0,5.503913216,f1,slip,medium,0.11,0.0,False,0
0,5.55818368,f0,slip,medium,0.11,0.0,False,0
0,6.988816896,f1,slip,medium,0.24,4.0,True,0
0,10.43492224,f0,slip,medium,0.17,0.0,False,0
0,10.455927808,f1,slip,medium,0.11,0.0,False,0
1,6.577964288,f0,slip,medium,0.11,0.0,False,0
1,6.577964288,f1,slip,medium,0.3,0.0,False,0
1,7.7770176,f1,slip,high,0.11,0.0,False,0
1,8.746325504,f1,slip,medium,0.14,5.0,True,1
1,12.38815232,f1,slip,medium,0.17,0.0,False,0
1,12.45474688,f0,slip,high,0.21,0.0,False,0
1,12.564181504,f1,slip,high,0.19,0.0,False,0
2,8.491636736,f0,slip,medium,0.11,4.0,True,0
2,8.943504384,f0,slip,medium,0.24,0.0,False,0
2,9.074871808,f1,slip,high,0.19,0.0,False,0
3,5.072448512,f0,slip,medium,0.11,0.0,False,0
3,5.303414016,f1,slip,medium,0.11,2.0,False,0
3,5.40183808,f0,slip,medium,0.11,0.0,False,0
3,6.800384512,f0,slip,medium,0.18,0.0,False,0
3,7.14064128,f0,slip,high,0.34,0.0,False,0
3,9.497696512,f1,slip,medium,0.27,0.0,False,0
3,9.605261568,f0,slip,high,0.19,0.0,False,0
4,5.16246272,f1,slip,medium,0.14,0.0,False,0
4,5.348420352,f1,slip,medium,0.11,0.0,False,0
4,8.506033408,f0,slip,high,0.19,0.0,False,0
4,8.563489792,f1,slip,high,0.14,0.0,False,0
5,5.876263424,f0,slip,high,0.14,1.0,False,0
5,6.735971328,f1,slip,medium,0.11,1.0,False,0
5,7.075625216,f1,slip,medium,0.11,1.0,False,0
5,10.410642176,f1,slip,high,0.15,0.0,False,0
6,7.041391872,f1,slip,high,0.12,0.0,False,0
8,4.081022208,f1,slip,high,0.05,0.0,False,0
8,7.229600256,f1,slip,high,0.12,0.0,False,0
10,8.318450432,f1,slip,high,0.15,0.0,False,0
12,9.176327936,f1,slip,high,0.13,0.0,False,0
13,5.016671744,f0,slip,medium,0.17,4.0,True,0
13,5.171986944,f1,slip,medium,0.11,0.0,False,0
13,5.589040896,f1,slip,medium,0.35,1.0,False,0
13,6.050744576,f1,slip,medium,0.21,2.0,False,0
13,6.38167936,f1,slip,medium,0.11,1.0,False,0
13,6.623309568,f1,slip,medium,0.64,0.0,False,0
14,4.58490624,f1,slip,high,0.22,0.0,False,0
