k,silhouette,ARI,NMI,inertia
2,0.6996454688886833,0.31541126497249394,0.39231737034570047,644536.0386332087
3,0.7191763645133036,0.3212825635838336,0.39357025734099316,497541.10580216756
4,0.7263115549827303,0.31905877678574884,0.3883760465976731,437817.4811405055
5,0.7336081348172181,0.31236141531478706,0.3845859770061578,384601.17772911984
6,0.7463574502178548,0.30469863033717504,0.3734667656535207,335093.89696837985
7,0.7224125589014554,0.30338877013022714,0.36574756823838184,309393.8116182481
8,0.7235309078064238,0.3031236543481952,0.36452064618142593,285730.11022965034
9,0.7240233921848538,0.30352847089318874,0.36364598753890237,264161.2573648206
10,0.7292496923142162,0.3015245521114268,0.35961482639479175,245371.15686121787
11,0.7288124266429908,0.3073369386677154,0.3580305290836651,232926.36584571126
12,0.7306140408500159,0.29875757339634423,0.34592031613661084,223114.4341880632
