cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len
0,0,631,471,160,0,5.333,0.0,630,157,585,157,579,158,595,318,475,0.0,0,5.333,0.0,0.0,15.7,5.333,0.0,0.0,15.7
1,1,736,504,156,76,5.2,2.533,659,188,687,187,688,270,692,343,668,-0.0,0,35.2,30.0,0.0,16.8,35.2,30.0,0.0,16.8
2,4,614,441,173,0,5.767,0.0,613,141,555,237,556,286,534,367,447,0.0,0,106.1,100.333,-0.0,14.7,106.1,100.333,-0.0,14.7
3,6,621,471,150,0,5.0,0.0,620,167,582,168,575,219,524,291,440,0.0,0,144.433,139.433,0.0,15.7,144.433,139.433,0.0,15.7
4,7,580,418,162,0,5.4,0.0,579,184,543,184,543,209,482,307,419,0.0,0,165.533,160.133,0.0,13.933,165.533,160.133,0.0,13.933
5,8,684,405,195,84,6.5,2.8,599,222,634,222,635,308,622,348,641,0.0,0,185.967,179.467,0.0,13.5,185.967,179.467,0.0,13.5
6,47,421,338,60,23,2.0,0.767,397,2,392,2,393,3,378,200,274,0.0,0,2.0,0.0,0.0,11.267,281.567,279.567,0.0,11.267
7,48,458,339,94,25,3.133,0.833,432,103,427,102,428,158,338,228,326,0.0,0,17.167,14.033,0.0,11.3,296.733,293.6,-0.0,11.3
8,49,423,321,69,33,2.3,1.1,389,47,384,47,387,177,301,184,286,-0.0,0,31.6,29.3,0.0,10.7,311.167,308.867,0.0,10.7
9,50,406,323,51,32,1.7,1.067,373,56,370,56,371,62,358,136,258,0.0,0,45.1,43.4,0.0,10.767,324.667,322.967,-0.0,10.767
