cur,raw,raw_frames,cur_frames,start_cut,end_cut,start_s,end_s,kept_end_frame_raw,arm_onset,arm_end,speed_onset,speed_end,jaw_onset,jaw_end,load_onset,load_end,cur_t0,cur_frame0,vid_wrist_cur_from,vid_wrist_raw_from,vid_wrist_shift_vs_cut,vid_wrist_cur_len,vid_top_cur_from,vid_top_raw_from,vid_top_shift_vs_cut,vid_top_cur_len,sc_raw_rows,sc_cur_rows,sc_raw_span_s,sc_cur_span_s,sc_start_cut_s,sc_end_cut_s,align_shift_s,sc_cur_lead_s,sc_cur_tail_s
0,0,631,471,160,0,5.333,0.0,630,157,585,157,579,158,595,318,475,0.0,0,5.333,0.0,0.0,15.7,5.333,0.0,0.0,15.7,5645,5160,62.11,56.77,5.34,0.0,5.333,-0.0,41.11
1,1,736,504,156,76,5.2,2.533,659,188,687,187,688,270,692,343,668,-0.0,0,35.2,30.0,0.0,16.8,35.2,30.0,0.0,16.8,5771,1527,63.52,16.79,5.2,41.53,5.2,-0.0,0.02
2,4,614,441,173,0,5.767,0.0,613,141,555,237,556,286,534,367,447,0.0,0,106.1,100.333,-0.0,14.7,106.1,100.333,-0.0,14.7,5218,4694,57.45,51.69,5.77,0.0,5.767,-0.0,37.02
3,6,621,471,150,0,5.0,0.0,620,167,582,168,575,219,524,291,440,0.0,0,144.433,139.433,0.0,15.7,144.433,139.433,0.0,15.7,5134,4679,56.55,51.54,5.01,0.0,5.0,-0.01,35.88
4,7,580,418,162,0,5.4,0.0,579,184,543,184,543,209,482,307,419,0.0,0,165.533,160.133,0.0,13.933,165.533,160.133,0.0,13.933,4568,4077,50.31,44.91,5.4,0.0,5.4,-0.01,31.01
5,8,684,405,195,84,6.5,2.8,599,222,634,222,635,308,622,348,641,0.0,0,185.967,179.467,0.0,13.5,185.967,179.467,0.0,13.5,5337,1227,58.77,13.49,6.49,38.79,6.5,-0.0,0.03
6,47,421,338,60,23,2.0,0.767,397,2,392,2,393,3,378,200,274,0.0,0,2.0,0.0,0.0,11.267,281.567,279.567,0.0,11.267,3528,1024,38.81,11.26,2.0,25.55,2.0,-0.01,0.03
7,48,458,339,94,25,3.133,0.833,432,103,427,102,428,158,338,228,326,0.0,0,17.167,14.033,0.0,11.3,296.733,293.6,-0.0,11.3,4115,1028,45.28,11.3,3.13,30.85,3.133,-0.0,0.03
8,49,423,321,69,33,2.3,1.1,389,47,384,47,387,177,301,184,286,-0.0,0,31.6,29.3,0.0,10.7,311.167,308.867,0.0,10.7,4010,972,44.13,10.68,2.3,31.15,2.3,-0.01,0.02
9,50,406,323,51,32,1.7,1.067,373,56,370,56,371,62,358,136,258,0.0,0,45.1,43.4,0.0,10.767,324.667,322.967,-0.0,10.767,4116,978,45.3,10.75,1.71,32.85,1.7,-0.0,0.02
10,51,516,408,78,30,2.6,1.0,485,90,484,90,483,116,366,222,328,-0.0,0,67.367,64.767,-0.0,13.6,346.933,344.333,0.0,13.6,4566,1236,50.26,13.59,2.6,34.07,2.6,-0.01,0.03
11,52,392,307,53,32,1.767,1.067,359,60,362,60,363,117,275,170,261,-0.0,0,83.733,81.967,-0.0,10.233,363.3,361.533,-0.0,10.233,3567,930,39.27,10.22,1.77,27.28,1.767,-0.01,0.03
12,53,586,453,88,45,2.933,1.5,540,96,534,95,530,100,393,261,366,0.0,0,97.967,95.033,0.0,15.1,377.533,374.6,0.0,15.1,4945,1373,54.61,15.1,2.93,36.59,2.933,-0.0,0.03
13,54,425,339,58,28,1.933,0.933,396,64,394,64,395,184,283,178,276,-0.0,0,116.5,114.567,0.0,11.3,396.067,394.133,0.0,11.3,4087,1027,45.01,11.29,1.93,31.79,1.933,-0.0,0.02
14,55,430,325,62,43,2.067,1.433,386,58,384,56,384,134,297,191,278,-0.0,0,130.8,128.733,-0.0,10.833,410.367,408.3,-0.0,10.833,4054,985,44.64,10.82,2.06,31.76,2.067,-0.0,0.03
15,56,454,358,52,44,1.733,1.467,409,67,386,67,384,63,403,175,287,0.0,0,144.8,143.067,-0.0,11.933,424.367,422.633,0.0,11.933,4250,1085,46.81,11.93,1.74,33.14,1.733,-0.0,0.03
16,57,522,417,66,39,2.2,1.3,482,3,473,2,474,80,474,147,318,0.0,0,160.4,158.2,-0.0,13.9,439.967,437.767,-0.0,13.9,4577,1264,50.4,13.9,2.2,34.3,2.2,-0.0,0.03
17,58,508,403,59,46,1.967,1.533,461,70,461,70,462,73,336,189,317,0.0,0,177.567,175.6,0.0,13.433,457.133,455.167,-0.0,13.433,4454,1221,49.07,13.43,1.97,33.67,1.967,-0.0,0.03
18,59,393,310,48,35,1.6,1.167,357,57,353,57,354,142,264,154,253,0.0,0,194.133,192.533,-0.0,10.333,473.7,472.1,0.0,10.333,3986,939,43.91,10.32,1.6,32.0,1.6,-0.0,0.02
